Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
199,1774612095894,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,38.095237731933594,30.000001907348633,10,0,40,100,42.105262756347656,15.000000953674316,35,10.526315689086914,0,35,0,26.3157901763916,19.047618865966797,14.285715103149414,0,8192,7674,79658,67,44,64397.73693847656,41889.662841796875,1628.689208984375,33293438976,8589930496,7062482944,1078120448
200,1774612096094,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,36.842105865478516,45,10,10,0,100,45,30.000001907348633,35,38.095237731933594,10,47.36842346191406,0,20,5.263157844543457,0,0,8192,7674,80277,67,53,64401.70764160156,41892.46569824219,1628.689208984375,33293438976,8589930496,7063228416,1078120448
199,1774612096294,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,55,42.105262756347656,10,31.57894515991211,0,30.000001907348633,0,40,31.57894515991211,28.571430206298828,10,30.000001907348633,40,25,30.000001907348633,0,0,8192,7674,79189,68,51,64405.438537597656,41895.064880371094,1628.689208984375,33293438976,8589930496,7062839296,1078120448
199,1774612096494,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,26.3157901763916,35,5,100,0,10,0,35,45,42.105262756347656,15.000000953674316,35,42.105262756347656,9.523809432983398,19.047618865966797,10,0,8192,7674,80028,67,44,64409.332946777344,41897.798583984375,1628.689208984375,33293438976,8589930496,7072382976,1078120448
200,1774612096694,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,45,0,45,100,0,0,4.761904716491699,35,0,50,10,45,45,5.263157844543457,0,45,0,8192,7674,80288,67,54,64413.301025390625,41900.59844970703,1628.689208984375,33293438976,8589930496,7065387008,1078120448
199,1774612096894,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,45,45,0,42.85714340209961,21.052631378173828,9.523809432983398,15.789472579956055,10.526315689086914,45,35,15.000000953674316,40,30.000001907348633,35,0,45,0,8192,7674,79810,67,60,64417.23449707031,41903.371826171875,1628.689208984375,33293438976,8589930496,7073415168,1078120448
199,1774612097094,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,40,25,0,0,85.71428680419922,0,4.761904716491699,20,40,50,40,0,38.095237731933594,21.052631378173828,0,30.000001907348633,0,8192,7674,79873,67,50,64420.982177734375,41905.981689453125,1628.689208984375,33293438976,8589930496,7074963456,1078120448
199,1774612097294,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,35,42.105262756347656,10,70,30.000001907348633,0,45,45,36.842105865478516,45,30.000001907348633,0,0,0,10,30.000001907348633,0,8192,7674,80882,67,46,64424.904541015625,41908.735778808594,1628.689208984375,33293438976,8589930496,7074963456,1078120448
199,1774612097495,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,45,42.85714340209961,25,95,26.3157901763916,10.526315689086914,36.842105865478516,10,23.809524536132813,47.36842346191406,20,0,10.526315689086914,33.333335876464844,0,0,0,8192,7674,79915,68,59,64428.77331542969,41911.44921875,1628.689208984375,33293438976,8589930496,7072997376,1078120448
200,1774612097695,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,40,42.105262756347656,30.000001907348633,42.85714340209961,5,9.523809432983398,20,0,10,100,47.36842346191406,0,5.263157844543457,42.105262756347656,0,0,0,8192,7674,79748,67,48,64432.51940917969,41914.04901123047,1628.689208984375,33293438976,8589930496,7069605888,1078120448
